,Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
24,1286761,Consumer loan,Vehicle loan,Problems when you are unable to pay,,WI,53183.0,2015-03-17,2015-03-17,Ally Financial Inc.,In progress,Yes,
25,1286755,Bank account or service,Checking account,"Account opening, closing, or management",,IL,60628.0,2015-03-17,2015-03-18,JPMorgan Chase,Closed with explanation,Yes,
26,1286639,Credit reporting,,Incorrect information on credit report,Account terms,MI,48091.0,2015-03-17,2015-03-17,TransUnion,Closed with explanation,Yes,
27,1286559,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,FL,33990.0,2015-03-17,2015-03-17,"Expert Global Solutions, Inc.",In progress,Yes,
28,1286777,Bank account or service,Checking account,"Account opening, closing, or management",,FL,32713.0,2015-03-17,2015-03-18,Wells Fargo,Closed with explanation,Yes,
29,1287586,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,CA,95032.0,2015-03-17,2015-03-17,"Bayview Loan Servicing, LLC",In progress,Yes,
30,1287135,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,CT,6611.0,2015-03-17,2015-03-17,"CCS Financial Services, Inc.",Closed with explanation,Yes,Yes
31,1287567,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,OR,97233.0,2015-03-17,2015-03-17,"CMRE Financial Services, Inc.",In progress,Yes,
32,1287501,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,GA,30518.0,2015-03-17,2015-03-17,"Aldous & Associates, PLLC",Closed with explanation,Yes,
33,1288242,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,CA,91205.0,2015-03-17,2015-03-18,"Bayview Loan Servicing, LLC",In progress,Yes,
34,1288281,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,VA,22180.0,2015-03-17,2015-03-18,"Debt Recovery Solutions, LLC",Closed with explanation,Yes,
35,1289846,Credit reporting,,Incorrect information on credit report,Account status,WA,98502.0,2015-03-17,2015-03-18,TransUnion,Closed with explanation,Yes,
36,1289847,Credit reporting,,Incorrect information on credit report,Account status,WA,98502.0,2015-03-17,2015-03-18,TransUnion,Closed with explanation,Yes,
37,1289788,Consumer loan,Vehicle loan,Problems when you are unable to pay,,PA,19149.0,2015-03-17,2015-03-18,Ally Financial Inc.,In progress,Yes,
38,1288284,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,TN,38305.0,2015-03-17,2015-03-18,"Fenton & McGarvey Law Firm, P.S.C.",Closed with explanation,Yes,
39,1286791,Money transfers,Domestic (US) money transfer,Other transaction issues,,AL,35115.0,2015-03-17,2015-03-17,MoneyGram,In progress,Yes,
40,1287677,Credit reporting,,Credit reporting company's investigation,Investigation took too long,MI,48334.0,2015-03-17,2015-03-17,"Early Warning Services, LLC",Closed with explanation,Yes,
41,1288263,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,WI,53579.0,2015-03-17,2015-03-18,BMO Harris,Closed with explanation,Yes,
42,1287783,Credit card,,Delinquent account,,PA,19406.0,2015-03-17,2015-03-17,Amex,Closed with explanation,Yes,Yes
43,1287765,Consumer loan,Vehicle loan,Problems when you are unable to pay,,IL,61554.0,2015-03-17,2015-03-17,Navy FCU,In progress,Yes,
44,1288273,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,MD,21704.0,2015-03-17,2015-03-18,"Credit Protection Association, L.P.",Closed with explanation,Yes,
45,1286793,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,33063.0,2015-03-17,2015-03-17,Stellar Recovery Inc.,Closed with explanation,Yes,
46,1288199,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,IA,51526.0,2015-03-17,2015-03-17,Synergetic Communication Inc,Closed with explanation,Yes,Yes
47,1287753,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,CA,94610.0,2015-03-17,2015-03-17,Niagara Portfolio Solutions LLC,Closed,Yes,
48,1285893,Credit card,,Other,,MI,48088.0,2015-03-17,2015-03-17,Amex,Closed with explanation,Yes,
49,1285956,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,FL,33462.0,2015-03-17,2015-03-17,Citibank,Closed with explanation,Yes,
50,1286966,Credit card,,Late fee,,GA,30075.0,2015-03-17,2015-03-17,Wells Fargo,Closed with monetary relief,Yes,
51,1287395,Consumer loan,Vehicle loan,Taking out the loan or lease,,KY,42223.0,2015-03-17,2015-03-17,Navy FCU,In progress,Yes,
52,1287443,Credit reporting,,Incorrect information on credit report,Personal information,MI,48473.0,2015-03-17,2015-03-17,TransUnion,Closed with non-monetary relief,Yes,
53,1286928,Consumer loan,Vehicle loan,Taking out the loan or lease,,NY,11415.0,2015-03-17,2015-03-17,Ally Financial Inc.,In progress,Yes,
54,1287315,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,FL,34473.0,2015-03-17,2015-03-17,Transworld Systems Inc.,In progress,Yes,
55,1287293,Consumer loan,Vehicle loan,Problems when you are unable to pay,,WI,53105.0,2015-03-17,2015-03-17,Ally Financial Inc.,In progress,Yes,
56,1287285,Bank account or service,Checking account,"Account opening, closing, or management",,CA,90801.0,2015-03-17,2015-03-18,JPMorgan Chase,Closed with explanation,Yes,
57,1287601,Debt collection,,Communication tactics,Called outside of 8am-9pm,LA,70774.0,2015-03-17,2015-03-17,"Receivable Recovery Services, LLC",In progress,Yes,
58,1286199,Debt collection,,Improper contact or sharing of info,Contacted me after I asked not to,NC,27205.0,2015-03-17,2015-03-17,"ONLINE Information Services, Inc.",Closed with explanation,Yes,
59,1286421,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,IL,61032.0,2015-03-17,2015-03-17,Armor Systems Corporation,Closed,Yes,Yes
60,1286515,Credit reporting,,Incorrect information on credit report,Public record,CO,80540.0,2015-03-17,2015-03-17,First Advantage Corporation,Closed with explanation,Yes,
61,1286004,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,OK,73072.0,2015-03-17,2015-03-17,"Franklin Collection Service, Inc.",Closed with explanation,Yes,
62,1286368,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,MA,2038.0,2015-03-17,2015-03-17,"Associated Credit Services, Inc.",In progress,Yes,
63,1286384,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,IL,62704.0,2015-03-17,2015-03-17,MiraMed Revenue Group LLC,Closed,Yes,
64,1286200,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,TN,37074.0,2015-03-17,2015-03-17,Transworld Systems Inc.,In progress,Yes,
65,1286314,Mortgage,FHA mortgage,Credit decision / Underwriting,,NE,68135.0,2015-03-17,2015-03-17,LoanDepot,Closed with explanation,Yes,Yes
66,1286211,Consumer loan,Personal line of credit,Managing the line of credit,,IA,50317.0,2015-03-17,2015-03-18,Wells Fargo,Closed with explanation,Yes,
67,1286231,Payday loan,,Can't stop charges to bank account,,KS,66606.0,2015-03-17,2015-03-17,Speedy Cash Holdings,Closed with explanation,Yes,Yes
68,1286224,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,MO,63040.0,2015-03-17,2015-03-17,Springleaf Finance Corporation,In progress,Yes,
69,1285422,Payday loan,,Charged fees or interest I didn't expect,,TX,76205.0,2015-03-16,2015-03-16,ACE Cash Express Inc.,In progress,Yes,
70,1284912,Payday loan,,Can't contact lender,,OR,97070.0,2015-03-16,2015-03-16,"CashCall, Inc.",Closed with explanation,Yes,
71,1284746,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,NH,3753.0,2015-03-16,2015-03-18,Wells Fargo,Closed with explanation,Yes,
72,1284068,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,OH,44121.0,2015-03-16,2015-03-16,TransUnion,Closed with explanation,Yes,
73,1287644,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CO,80516.0,2015-03-16,2015-03-17,Bank of America,In progress,Yes,
74,1288174,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,MD,21085.0,2015-03-16,2015-03-17,"Premium Asset Services, LLC",In progress,Yes,
75,1286165,Debt collection,Medical,Communication tactics,Threatened to take legal action,WA,98311.0,2015-03-16,2015-03-17,"P.S.C., Inc",Closed with explanation,Yes,
76,1286144,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,CA,91355.0,2015-03-16,2015-03-17,"Acquired Assets, Ltd.",Closed with explanation,Yes,
77,1286143,Credit reporting,,Incorrect information on credit report,Public record,CA,90280.0,2015-03-16,2015-03-17,TransUnion,Closed with explanation,Yes,
78,1286134,Debt collection,,Communication tactics,Threatened to take legal action,IN,46307.0,2015-03-16,2015-03-17,JPMorgan Chase,Closed with explanation,Yes,
79,1284406,Bank account or service,Checking account,Using a debit or ATM card,,CA,92844.0,2015-03-16,2015-03-16,Navy FCU,In progress,Yes,
80,1284387,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NC,28365.0,2015-03-16,2015-03-16,"Diversified Adjustment Service, Inc.",Closed with explanation,Yes,
81,1283979,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,OH,43204.0,2015-03-16,2015-03-16,Bank of America,In progress,Yes,
82,1283784,Credit card,,Delinquent account,,CA,90201.0,2015-03-16,2015-03-16,First National Bank of Omaha,Closed with explanation,Yes,Yes
83,1283880,Consumer loan,Vehicle loan,Problems when you are unable to pay,,FL,33179.0,2015-03-16,2015-03-16,Nissan Motor Acceptance Corporation,In progress,Yes,
84,1283819,Credit reporting,,Incorrect information on credit report,Account terms,ND,58104.0,2015-03-16,2015-03-16,TransUnion,Closed with explanation,Yes,
85,1283806,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CA,95132.0,2015-03-16,2015-03-16,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,
86,1283881,Consumer loan,Vehicle loan,Problems when you are unable to pay,,FL,33179.0,2015-03-16,2015-03-16,Mercedes-Benz Financial Services,Closed with explanation,Yes,
87,1283920,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,GA,30093.0,2015-03-16,2015-03-16,"Pinnacle Recovery, Inc.",Closed with explanation,Yes,Yes
88,1283913,Consumer loan,Vehicle lease,Problems when you are unable to pay,,FL,33154.0,2015-03-16,2015-03-16,Ally Financial Inc.,In progress,Yes,
89,1284333,Credit reporting,,Incorrect information on credit report,Personal information,MI,48237.0,2015-03-16,2015-03-16,TransUnion,Closed with non-monetary relief,Yes,Yes
90,1283995,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,WA,98115.0,2015-03-16,2015-03-16,Renton Collections Inc.,Closed with explanation,Yes,Yes
91,1284095,Credit card,,Billing statement,,CA,94709.0,2015-03-16,2015-03-16,Wells Fargo,Closed with explanation,Yes,
92,1284000,Bank account or service,Checking account,Problems caused by my funds being low,,PA,19064.0,2015-03-16,2015-03-18,Santander Bank US,In progress,Yes,
93,1284115,Credit card,,Other,,OH,43702.0,2015-03-16,2015-03-16,Wells Fargo,Closed with explanation,Yes,
94,1284284,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NJ,8059.0,2015-03-16,2015-03-16,Santander Bank US,In progress,Yes,
95,1284197,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,PA,18102.0,2015-03-16,2015-03-16,"Professional Medical Management, Inc.",Closed with non-monetary relief,Yes,
96,1284165,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,DC,20008.0,2015-03-16,2015-03-16,"PrimeLending, A PlainsCapital Company",In progress,Yes,
97,1284230,Consumer loan,Vehicle loan,Managing the loan or lease,,NC,27707.0,2015-03-16,2015-03-16,BB&T Financial,Closed with explanation,Yes,
98,1285212,Consumer loan,Vehicle lease,Managing the loan or lease,,NH,3290.0,2015-03-16,2015-03-16,Nissan Motor Acceptance Corporation,In progress,Yes,
99,1284552,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,FL,32086.0,2015-03-16,2015-03-16,Transworld Systems Inc.,Closed with explanation,Yes,
100,1284412,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,NV,89148.0,2015-03-16,2015-03-16,"First Service Residential, Nevada, LLC",Closed with explanation,Yes,Yes
101,1284660,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,TX,77062.0,2015-03-16,2015-03-16,"Certified Recovery Systems, Inc.",Closed with non-monetary relief,Yes,
102,1284638,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,AL,36054.0,2015-03-16,2015-03-16,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
103,1284632,Student loan,Non-federal student loan,Can't repay my loan,,MI,49504.0,2015-03-16,2015-03-16,JPMorgan Chase,Closed with explanation,Yes,
104,1284619,Consumer loan,Vehicle loan,Taking out the loan or lease,,NC,27519.0,2015-03-16,2015-03-16,Toyota Motor Credit Corporation,Closed with explanation,Yes,
105,1284567,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,95757.0,2015-03-16,2015-03-16,American Coradius International LLC,Closed with explanation,Yes,
106,1285211,Credit reporting,,Incorrect information on credit report,Account status,OK,73189.0,2015-03-16,2015-03-16,TransUnion,Closed with explanation,Yes,
107,1284903,Consumer loan,Vehicle loan,Problems when you are unable to pay,,KY,41048.0,2015-03-16,2015-03-16,Ally Financial Inc.,In progress,Yes,
108,1284692,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,FL,32789.0,2015-03-16,2015-03-17,"The CMI Group, Inc.",Closed with explanation,Yes,
109,1284673,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,KY,40047.0,2015-03-16,2015-03-16,Citibank,Closed with monetary relief,Yes,
110,1284896,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,MD,20602.0,2015-03-16,2015-03-16,"Bayview Loan Servicing, LLC",In progress,Yes,
111,1284851,Debt collection,Mortgage,Improper contact or sharing of info,Contacted me after I asked not to,CA,93065.0,2015-03-16,2015-03-16,"JH Portfolio Debt Equities, LLC",Closed with explanation,Yes,
112,1284763,Credit reporting,,Incorrect information on credit report,Account terms,GA,30338.0,2015-03-16,2015-03-16,TransUnion,Closed with explanation,Yes,
113,1285160,Bank account or service,Checking account,"Making/receiving payments, sending money",,MD,20901.0,2015-03-16,2015-03-16,JPMorgan Chase,Closed with explanation,Yes,
114,1284983,Payday loan,,Charged bank acct wrong day or amt,,NJ,8021.0,2015-03-16,2015-03-16,ACE Cash Express Inc.,In progress,Yes,
115,1284944,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,WA,99403.0,2015-03-16,2015-03-16,Arbor Residential Mortgage LLC,In progress,Yes,
116,1284955,Credit reporting,,Incorrect information on credit report,Information is not mine,FL,33063.0,2015-03-16,2015-03-16,TransUnion,Closed with explanation,Yes,
117,1285144,Consumer loan,Vehicle lease,Managing the loan or lease,,NY,11725.0,2015-03-16,2015-03-16,Nissan Motor Acceptance Corporation,In progress,Yes,
118,1285040,Consumer loan,Installment loan,Managing the loan or lease,,WI,54403.0,2015-03-16,2015-03-17,"CashCall, Inc.",Closed with explanation,Yes,
119,1285106,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,TX,77502.0,2015-03-16,2015-03-16,Nationstar Mortgage,Closed with explanation,Yes,
120,1285061,Payday loan,,Received a loan I didn't apply for,,MO,63012.0,2015-03-16,2015-03-16,Speedy Cash Holdings,Closed,Yes,
121,1286088,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NY,13440.0,2015-03-16,2015-03-17,"Mercantile Adjustment Bureau, LLC",Closed with explanation,Yes,
122,1283757,Consumer loan,Vehicle loan,Managing the loan or lease,,TX,77373.0,2015-03-16,2015-03-16,Ally Financial Inc.,In progress,Yes,
123,1285383,Credit reporting,,Incorrect information on credit report,Account status,TX,75169.0,2015-03-16,2015-03-16,"On-Site Manager, Inc.",Closed with non-monetary relief,Yes,
124,1285237,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,IL,60620.0,2015-03-16,2015-03-16,"Contract Callers, Inc.",Closed,Yes,
125,1285289,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,CA,95376.0,2015-03-16,2015-03-16,Ocwen,Closed with explanation,Yes,
126,1285841,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,MI,48188.0,2015-03-16,2015-03-16,Transworld Systems Inc.,In progress,Yes,
127,1285463,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,TX,77362.0,2015-03-16,2015-03-16,TransUnion,Closed with explanation,Yes,
128,1285447,Bank account or service,Savings account,"Account opening, closing, or management",,NC,28208.0,2015-03-16,2015-03-16,"FNIS (Fidelity National Information Services, Inc.)",In progress,Yes,
129,1285435,Student loan,Non-federal student loan,Can't repay my loan,,TX,78251.0,2015-03-16,2015-03-16,Wells Fargo,Closed with explanation,Yes,
130,1285840,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,PA,17202.0,2015-03-16,2015-03-16,"Convergent Resources, Inc.",Closed with explanation,Yes,
131,1285573,Money transfers,Domestic (US) money transfer,Other service issues,,TN,38141.0,2015-03-16,2015-03-16,MoneyGram,In progress,Yes,
132,1285480,Bank account or service,Savings account,"Account opening, closing, or management",,NY,12015.0,2015-03-16,2015-03-17,First Niagara Bank,In progress,Yes,
133,1285560,Debt collection,,Disclosure verification of debt,Right to dispute notice not received,ME,4605.0,2015-03-16,2015-03-16,"Southwest Credit Systems, L.P.",In progress,Yes,
134,1286087,Money transfers,International money transfer,Money was not available when promised,,TN,37087.0,2015-03-16,2015-03-17,Xoom,Closed with explanation,Yes,
135,1286053,Bank account or service,Checking account,Deposits and withdrawals,,CA,95624.0,2015-03-16,2015-03-16,Wells Fargo,Closed with explanation,Yes,Yes
136,1284366,Payday loan,,Charged fees or interest I didn't expect,,MO,64052.0,2015-03-16,2015-03-16,Speedy Cash Holdings,Closed with explanation,Yes,
137,1286082,Bank account or service,Checking account,Deposits and withdrawals,,TX,75006.0,2015-03-16,2015-03-17,JPMorgan Chase,Closed with explanation,Yes,
138,1286132,Credit reporting,,Incorrect information on credit report,Information is not mine,IN,47872.0,2015-03-16,2015-03-17,TransUnion,Closed with non-monetary relief,Yes,
139,1286079,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CT,6478.0,2015-03-16,2015-03-17,"CCS Financial Services, Inc.",Closed with explanation,Yes,
140,1286076,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,TX,78501.0,2015-03-16,2015-03-17,"Asta Funding, Inc",Closed with explanation,Yes,Yes
141,1286078,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NJ,8016.0,2015-03-16,2015-03-17,Aurora Financial Group Inc.,Closed with explanation,Yes,
142,1283561,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,PA,18840.0,2015-03-15,2015-03-17,Transworld Systems Inc.,In progress,Yes,
143,1283468,Credit reporting,,Incorrect information on credit report,Public record,TN,37160.0,2015-03-15,2015-03-15,"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,Yes,
144,1283462,Credit reporting,,Incorrect information on credit report,Information is not mine,PA,19124.0,2015-03-15,2015-03-15,Equifax,Closed with explanation,Yes,
145,1283463,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,CT,6513.0,2015-03-15,2015-03-15,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
146,1283492,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,90249.0,2015-03-15,2015-03-15,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
147,1283484,Credit reporting,,Incorrect information on credit report,Account terms,GA,31313.0,2015-03-15,2015-03-15,TransUnion,Closed with explanation,Yes,
148,1283476,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Threatened to sue on too old debt,NJ,7018.0,2015-03-15,2015-03-15,Transworld Systems Inc.,In progress,Yes,
149,1283470,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,GA,30333.0,2015-03-15,2015-03-15,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
150,1283531,Credit reporting,,Incorrect information on credit report,Account status,NY,13044.0,2015-03-15,2015-03-15,Equifax,Closed with explanation,Yes,
151,1283672,Credit reporting,,Incorrect information on credit report,Information is not mine,CO,80016.0,2015-03-15,2015-03-15,TransUnion,Closed with explanation,Yes,
152,1283560,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,OK,74112.0,2015-03-15,2015-03-15,"Green Tree Servicing, LLC",Closed with explanation,Yes,
153,1283586,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,FL,34481.0,2015-03-15,2015-03-15,Equifax,Closed with explanation,Yes,
154,1283549,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,TX,75010.0,2015-03-15,2015-03-15,"Synerprise Consulting Services, Inc.",Closed with explanation,Yes,
155,1283584,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,NJ,8322.0,2015-03-15,2015-03-15,Wells Fargo,Closed with explanation,Yes,
156,1283578,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NM,87108.0,2015-03-15,2015-03-15,Transworld Systems Inc.,In progress,Yes,
157,1283562,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,PA,18840.0,2015-03-15,2015-03-15,Army and Air Force Exchange Service,Closed with explanation,Yes,
158,1283610,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,NY,11365.0,2015-03-15,2015-03-15,"ONLINE Information Services, Inc.",Closed with explanation,Yes,
159,1283671,Credit reporting,,Incorrect information on credit report,Public record,NC,27705.0,2015-03-15,2015-03-15,Equifax,Closed with explanation,Yes,
160,1283602,Consumer loan,Installment loan,Shopping for a loan or lease,,FL,33971.0,2015-03-15,2015-03-17,Wells Fargo,Closed with explanation,Yes,
161,1283600,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,OH,45895.0,2015-03-15,2015-03-15,"Crown Asset Management, LLC",Closed,Yes,Yes
162,1283659,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,75054.0,2015-03-15,2015-03-15,"ProCollect, Inc",Closed with explanation,Yes,
163,1283626,Credit reporting,,Incorrect information on credit report,Information is not mine,CT,6902.0,2015-03-15,2015-03-15,TransUnion,Closed with non-monetary relief,Yes,
164,1283619,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,14034.0,2015-03-15,2015-03-15,Equifax,Closed with explanation,Yes,
165,1283457,Credit card,,Delinquent account,,PA,19124.0,2015-03-15,2015-03-16,Discover,Closed with explanation,Yes,Yes
